,Unnamed: 0,LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
34,34,6733687309,04/30/2020,1084,PPP,"TYONEK MANUFACTURING GROUP, INC.",1689 C ST,ANCHORAGE,AK,99501,,Exemption 4,60,100,3912364.0,3912364.0,0.0,,44449,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801-1621,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99501-5115,AK-,345.0,551112.0,Unanswered,Unknown/NotStated,,3912364.0,,,,,,Subchapter S Corporation,760,First Source Federal Credit Union,BIRMINGHAM,AL,Unanswered,Unanswered,,3796942.34,10/21/2022
35,35,7689017009,04/08/2020,1084,PPP,"RESOURCE DATA, INC","560 East 34th Avenue, Suite 100",ANCHORAGE,AK,99503-4116,07/21/2021,Paid in Full,24,100,3793617.0,3793618.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-4116,AK-,194.0,541511.0,Unanswered,Unknown/NotStated,,3793618.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,3838413.87,06/28/2021
36,36,4820397010,04/04/2020,1084,PPP,"COLVILLE, INC.",4300 B Street,ANCHORAGE,AK,99503-5913,07/20/2021,Paid in Full,24,100,3776300.0,3776300.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-5913,AK-,213.0,454319.0,White,Not Hispanic or Latino,,3776300.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,3819960.24,06/11/2021
37,37,7054477003,04/07/2020,1084,PPP,"MRD, INC.",800 NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503-3713,07/21/2021,Paid in Full,24,100,3774800.0,3774800.0,0.0,McDonalds,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-3713,AK-,500.0,722514.0,Unanswered,Unknown/NotStated,,3774800.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,3817615.54,06/11/2021
38,38,1712467104,04/10/2020,1084,PPP,ENGINEERED SOLUTIONS GROUP,"3305 Arctic Boulevard, Suite 201",ANCHORAGE,AK,99503-4522,07/20/2021,Paid in Full,24,100,3894547.0,3711148.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-4522,AK-,158.0,541330.0,White,Not Hispanic or Latino,,3711148.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Female Owned,Non-Veteran,,3753444.92,06/11/2021
39,39,4958077000,04/04/2020,1084,PPP,"ALLEN MARINE TOURS, INC.",1512 Sawmill Creek Rd,SITKA,AK,99835-9704,07/20/2021,Paid in Full,24,100,3600000.0,3554703.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,N,Existing or more than 2 years old,SITKA,SITKA,AK,99835-9704,AK-,170.0,561520.0,Unanswered,Not Hispanic or Latino,,3554703.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,3595314.26,06/11/2021
40,40,2433997210,04/16/2020,1084,PPP,"TUNISTA SERVICES, LLC",5015 BUSINESS PARK BLVD Suite 3000,ANCHORAGE,AK,99503-7146,08/20/2021,Paid in Full,24,100,3546295.0,3546295.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,Y,Existing or more than 2 years old,ANCHORAGE,ANCHORAGE,AK,99503-7146,AK-,244.0,811412.0,Unanswered,Unknown/NotStated,,3546295.0,,,,,,Limited  Liability Company(LLC),56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,,
41,41,5586637103,04/13/2020,1084,PPP,"GEONORTH, LLC.",561 E. 36th Ave.,ANCHORAGE,AK,99503-4137,10/21/2020,Paid in Full,24,100,3535477.0,3535477.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99503-4137,AK-,188.0,541511.0,Unanswered,Unknown/NotStated,,3535477.0,,,,,,Limited  Liability Company(LLC),56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,,
42,42,4605797009,04/04/2020,1084,PPP,"FULLFORD ELECTRIC, INC.",303 E VAN HORN RD,FAIRBANKS,AK,99701-7625,07/20/2021,Paid in Full,24,100,2599900.0,3425709.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,R,Y,N,Existing or more than 2 years old,FAIRBANKS,FAIRBANKS NORTH STAR,AK,99701-7625,AK-,82.0,238210.0,Unanswered,Unknown/NotStated,,3425709.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Unanswered,,3464752.7,06/11/2021
43,43,4042717100,04/12/2020,1084,PPP,"PRUHS CONSTRUCTION CO., L.L.C.",2193 Viking Dr,ANCHORAGE,AK,99501-1730,08/20/2021,Paid in Full,24,100,1625000.0,3403381.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,U,Y,Y,Unanswered,ANCHORAGE,ANCHORAGE,AK,99501-1730,AK-,10.0,237310.0,White,Unknown/NotStated,,3403381.0,,,,,,Limited  Liability Company(LLC),56102,KeyBank National Association,CLEVELAND,OH,Male Owned,Non-Veteran,,3446179.68,07/26/2021
